ProductID,ProductNo,ProductName,DocketName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
20691779,,"Poor Tom's Strawberry Gin",,,,unit,1,14,GST,0.0000,GST,0,1,"ALCOHOL,stock,stock-spirit",SPIRITS,1,0,0,,"Gins [Harrys]",,1,,,,,BOTTLE,
22645185,,"Add Bacon",,,,unit,1,4,GST,0.0000,GST,1,1,,,,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
22902106,,"Avocado [kg]",,,,kg,1,0,FRE,7.7800,FRE,0,1,,,0,1,1,,,,,,1,Individual,,UNIT,
21420372,,"Extra Tofu",,,,unit,1,2,GST,0.0000,GST,1,1,,,,,,,"Add-ons - Kitchen [Harrys]",,1,,1,Individual,1,UNIT,
20750163,,"Joseph Cartron Black Cacao [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22918977,,"Noodles Pad Thai Aroy-D [375g]",,,,unit,1,0,FRE,3.5000,FRE,0,1,,,0,1,1,,,,,,1,Individual,1,UNIT,
22970070,,Togarashi,,,,g,1,0,FRE,0.0000,FRE,0,1,,,,,,,,,1,,1,Individual,,UNIT,
20700556,,"Corpse Reviver No. 2 [HG]",,,,unit,1,19,GST,0.0000,GST,0,1,,COCKTAILS,1,0,0,,"Cocktails - Classic [Harrys]",,1,,,,,UNIT,
23420466,,"Yuzu Chu-hi",,,,unit,1,12,GST,0.0000,GST,0,1,,COCKTAILS,,,,,"Cocktails - Signature [Harrys]",,1,,,,,UNIT,
22645004,,"BBQ Wings [HG]",,,,unit,1,15.5,GST,0.0000,GST,0,1,,"STOW FOOD",,,,,"Stow Food [Harrys]",,1,,,Individual,1,UNIT,
