"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20487490,"Jack Daniels [Bottle]",52.72,1,1,0,0,52.72
20445706,"James Boags Light",2.24,16,16,0,0,35.84
20487512,"Jameson Irish Whiskey [Bottle]",52.8,0.55,0.55,0,0,29.04
20492716,"John D. Taylor's Velvet Falernum [Bottle]",36.74,0.45,0.45,0,0,16.53
20512418,"Joseph Cartron Apricot Brandy [Bottle]",49.96,1.5,1.5,0,0,74.94
20484934,"Kahlua [1L]",47.99,5.66,5.66,0,0,271.77
20786711,"Kirin [Keg]",444.8,0.78,0.78,0,0,345.16
20487531,"Kraken Rum [Bottle]",49.43,0.5,0.5,0,0,24.72
20464670,"Kuku Sauvignon Blanc - Bottle",14.57,16.15,16.15,0,0,235.31
23120129,"La Petite Mort Albarino 2025 - Bottle",22.89,3.8,3.8,0,0,86.98
23120216,"La Petite Mort Rosso 2025 - Bottle",22.89,1.2,1.2,0,0,27.47
21939293,"Little Dragon Can",3.53,25,25,0,0,88.25
20487546,"Lost Explorer Espadín Mezcal [Bottle]",69.98,0.08,0.08,0,0,5.25
20512320,"Luxardo Maraschino [Bottle]",51.42,0.75,0.75,0,0,38.57
20492685,"Lyre's Italian Spritz [Bottle]",36.77,0.5,0.5,0,0,18.39
20487793,"Massenez Black Cacao [5L]",318,0.25,0.25,0,0,79.5
20492692,"Massenez Cacao Blanc [750ml]",47.27,0.05,0.05,0,0,2.41
21150705,"Massenez Creme de Cassis [750ml]",0,0.1,0.1,0,0,0
21150706,"Massenez Creme de Mure [750ml]",41.82,0.35,0.35,0,0,14.64
22684315,"Massenez Elderflower [5L]",237.95,0.54,0.54,0,0,127.3
20729559,"Massenez Framboise Raspberry [750ml]",41.82,0.9,0.9,0,0,37.64
20487547,"Massenez Lychee [5L]",290.62,2.57,2.57,0,0,746.31
22873696,"Massenez Mango Liqueur [5L Cask]",320.99,0.93,0.93,0,0,298.52
20483413,"Massenez Triple Sec [5L]",312.98,2.58,2.58,0,0,806.55
20492642,"Massenez Wild Strawberry [750ml]",43.91,0.55,0.55,0,0,24.15
20487836,"Monkey Shoulder Scotch [Bottle]",55.75,0.33,0.33,0,0,18.4
20445714,"Monteith's Apple Cider Bottle",3.11,23,23,0,0,71.53
20464685,"Mother's Milk Shiraz - Bottle",16.08,7.4,7.4,0,0,118.99
20487788,"Mr Black Coffee Liqueur [Bottle]",38.29,0.8,0.8,0,0,30.63
20487812,"Myer's Jamaican Rum [Bottle]",74.04,0.18,0.18,0,0,13.4
20487829,"Never Never Oyster Shell Gin [Bottle]",69.5,0.5,0.5,0,0,34.75
20487319,"Noilly Prat Dry Vermouth [Bottle]",35.69,1,1,0,0,35.69
20464651,"Ottelia Cab Sav - Bottle",23.03,12.5,12.5,0,0,287.88
20464694,"Ottelia Chardonnay - Bottle",17.29,15,15,0,0,259.35
20464662,"Padrillos Malbec - Bottle",22.39,0.55,0.55,0,0,12.31
20487923,"Patron Reposado [Bottle]",88.23,1.35,1.35,0,0,119.11
20487926,"Patron Silver [Bottle]",76.52,1.35,1.35,0,0,103.3
20512432,"Pernod Absinthe [Bottle]",0,0.35,0.35,0,0,0
20445700,"Peroni",2.55,38,38,0,0,96.9
21999769,"Peroni 0%",1.85,31,31,0,0,57.35
20466106,"Petits Detours Rosé Mediterranee - Bottle",16.49,9.4,9.4,0,0,155.01
20487875,"Philter Red [Keg]",298.2,0.27,0.27,0,0,80.51
20487938,"Philter XPA [Keg]",263.12,1.07,1.08,0.01,3,284.96
20727759,"Pierre Ferrand Dry Curacao [Bottle]",71.39,0.95,0.95,0,0,67.82
20512724,"Pimm's Aperitif [Bottle]",44.92,1,1,0,0,44.92
20487946,"Plantation 3 Stars White Rum [Bottle]",60.83,0.38,0.38,0,0,22.93
22442475,"Plantation Original Dark",2.53,0.25,0.25,0,0,0.63
20487958,"Poor Tom's Strawberry Gin [Bottle]",69.16,1.45,1.45,0,0,100.28
22169473,"R de Ruinart Brut Champagne",0,2,2,0,0,0
20466083,"Ravensworth Skins Gris - Bottle",20.19,2.4,2.4,0,0,48.46
20484763,"Regal Rogue Bold Red Vermouth [5L]",157.75,0.72,0.72,0,0,113.74
20483410,"Rooster Rojo Blanco Tequila [Bottle]",56.8,31.16,31.16,0,0,1770.12
20484932,"Sailor Jerry [700ml]",44.61,3.08,3.08,0,0,137.18
20445897,"San Pellegrino 500ml",2.31,8,8,0,0,18.48
20488033,"Seadrift Coast [Bottle]",37.5,0.45,0.45,0,0,16.88
20487241,"Select Aperitivo [Bottle]",29.01,1.7,1.7,0,0,49.32
23217497,"Seppeltsfield Para Grand 10yo Tawny [Bottle]",31.37,1.85,1.85,0,0,58.03
20728346,"Sibiliana Nero D'Avola - Bottle",16.34,8.9,8.9,0,0,145.43
20466100,"Sigurd GSM Red Blend - Bottle",23.1,8,8,0,0,184.8
20466095,"Sigurd White Blend - Bottle",23.1,11.6,11.6,0,0,267.96
20459554,"Solo 1.25L",3.58,9,9,0,0,32.22
20459555,"Sprite 1.25L",3.66,1,1,0,0,3.66
20459564,"Sprite Can",1.9,2,2,0,0,3.8
20727873,"St. Felix Bitter Aperitivo [Bottle]",37.28,0.7,0.7,0,0,26.1
20459532,"Status Quo Can D",3.69,17,17,0,0,62.73
20492634,"Status Quo [Keg]",360.91,0.4,0.4,0,0,145.81
20492637,"Stone & Wood [Keg]",381.12,0.71,0.71,0,0,271.74
20459557,"Sunkist 1.25L",2.04,14,14,0,0,28.56
20492694,"Tanqueray 10 [Bottle]",81.83,0.8,0.8,0,0,65.46
20710158,"Tempus Fugit Creme de Banane [Bottle]",59.34,1.55,1.55,0,0,92.21
20512316,"Tempus Fugit Violette [Bottle]",71.03,0.55,0.55,0,0,39.07
20492697,"Tequila Ocho Anejo [Bottle]",99,0.15,0.15,0,0,14.85
20492699,"Tilde Raw Vodka [Bottle]",59,0.33,0.33,0,0,19.47
20492701,"Tito's Vodka [Bottle]",68.62,0.45,0.45,0,0,30.88
20645912,"Travelling While Standing Still Gin [700ml]",90,0.5,0.5,0,0,45
20466112,"Trentham Estate Rosé - Bottle",10.55,19.8,20,0.2,2.11,211
20464635,"Trutta Streamside Shiraz [Chilled] - Bottle",18.7,7,7,0,0,130.9
20445703,"Two Bays Pale Ale Can",5.41,9,9,0,0,48.69
20464707,"Two Tonne Riesling - Bottle",21.36,1.4,1.4,0,0,29.9
20645902,"Unico Zelo Terra Cotta - Bottle",21.89,14.3,14.3,0,0,313.03
20445704,"VB Tinnie",2.33,48,48,0,0,111.84
20466120,"Version Two Pinot Grigio - Bottle",8.83,29.1,29.3,0.2,1.77,258.72
20466130,"Version Two Sparkling - Bottle",8.83,10.25,10.25,0,0,90.51
