"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20492707,"Chambord [Bottle]",57.24,1.21,1.04,-0.17,-9.94,59.57
20492640,"Chartreuse Yellow [Bottle]",106.85,0.65,0.7,0.05,5.34,74.8
20710041,"Cherry Heering [Bottle]",43.71,0.35,0.45,0.1,4.37,19.67
20487234,"Cocchi Americano [Bottle]",44.62,0.83,1.3,0.47,20.97,58.01
20492757,"Cointreau [Bottle]",56.91,1,1.05,0.05,2.85,59.76
20459552,"Coke 1.25L",3.66,23,23,0,0,84.18
20459560,"Coke Can",1.84,47,26,-21,-38.64,47.84
20459553,"Coke Zero 1.25L",3.66,35,20,-15,-54.9,73.2
20459561,"Coke Zero Can",1.87,55,84,29,54.23,157.08
20445701,"Corona",2.6,66,84,18,46.8,218.4
20645869,"Crankshaft IPA [Keg]",376.2,1.35,1.45,0.11,39.54,546.05
20485056,"Cri De Couer Pinot Noir - Bottle",62.15,2.25,2.25,0,0,139.84
20485015,"Cynar [Bottle]",36.78,1.3,1.03,-0.27,-9.93,37.88
20464486,"Das Juice Pink Pet Nat - Bottle",16.5,17.6,17.55,-0.05,-0.83,289.58
20727954,"De Kuyper Butterscotch Schnapps [Bottle]",43.15,0.75,0.5,-0.25,-10.79,21.58
20727968,"De Kuyper Peach Schnapps [Bottle]",42.91,1,0.8,-0.2,-8.58,34.33
20655376,"De La Grosse Beaujolais - Bottle",38.2,3.55,2.85,-0.7,-26.74,108.87
21150832,"Diplomatico Mantuano [Bottle]",62.59,0.46,0.35,-0.11,-6.7,21.91
20492688,"Disaronno [Bottle]",48.6,2.89,2.8,-0.09,-4.37,136.08
20464635,"Disco Volante Pinot Noir [Chilled] - Bottle",20.55,11.37,10.9,-0.47,-9.59,224
20484692,"Dolin Blanc Vermouth [Bottle]",27.13,2.29,3.12,0.83,22.49,84.72
20445737,"Dom Pérignon Champagne - Bottle",398.59,1,1,0,0,398.59
20464639,"Domaine Gueguen Chablis - Bottle",44.73,6.55,6.55,0,0,292.98
20484905,"Don Julio 1942 Añejo [Bottle]",234.93,0.44,0.45,0.01,1.67,105.72
22575957,"Don Julio Blanco [Bottle]",74.48,0.95,0.85,-0.1,-7.45,63.31
20645909,"Dragonfly Grenache - Bottle",17.3,0.32,11.8,11.48,198.66,204.14
20445711,"Fellr Watermelon Seltzer Tin",3.34,18,26,8,26.72,86.84
20487274,"Fernet Branca [Bottle]",72.41,1.06,1.05,-0.01,-0.51,76.03
20484956,"Fever-Tree Mediterannean Tonic [Bottle]",2.82,9.85,10.4,0.55,1.55,29.33
