"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20445704,"VB Tinnie",2.33,49,48,-1,-2.33,111.84
20466120,"Version Two Pinot Grigio - Bottle",8.83,29.66,29.3,-0.36,-3.18,258.72
20466130,"Version Two Sparkling - Bottle",8.83,10,10.25,0.25,2.21,90.51
20645881,"Veuve Clicquot Yellow Label - Bottle",80.76,4.5,4.5,0,0,363.42
20466168,"Villa Fresco Sangiovese - Bottle",12.06,6.16,2.8,-3.36,-40.53,33.77
20492687,"Vinada Sparking Rosé [Bottle]",15.23,6,5.8,-0.2,-3.05,88.33
21749602,"Whispering Angel Rosé - Bottle",32.75,3.7,3.5,-0.2,-6.55,114.63
20484930,"White Light Vodka [20L]",1012.78,1.45,1.46,0.01,8.51,1481.7
20492747,"Wolf Lane Navy Gin [Bottle]",85.14,1.4,0.4,-1,-85.14,34.06
20492750,"Wray & Nephew's OR Rumbar OP Rum [Bottle]",95.39,1,0.85,-0.15,-14.31,81.08
23253690,"Xocolatl Mole Bitters [Bottle]",29.44,1.02,0.05,-0.97,-28.61,1.41
22001021,"Year Wines Fiano - Bottle",21.36,8,7.95,-0.05,-1.07,169.81
20445713,"Young Henrys Cloudy Cider Can",2.82,25,25,0,0,70.5
20488005,"Zacapa Centenario 23yr [Bottle]",107.59,1.1,1.14,0.04,4.52,122.44
