Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Coke Zero Can,1,$0.00,$0.00,$1.89,0%,0%,
Sigurd GSM Red Blend - Regular,1,$20.00,$1.82,$4.62,0%,0%,77%
Two Bays Pale Ale Can,1,$18.00,$1.64,$5.41,0%,0%,70%
Onion Rings,1,$12.39,$1.12,$0.00,0%,0%,0%
Sensei Calamari D,1,$0.00,$0.00,$2.31,0%,0%,
No Olives,1,$0.00,$0.00,$0.00,0%,0%,0%
Stone & Wood - Schooner,1,$13.00,$1.18,$3.25,0%,0%,75%
Baked Camembert,1,$24.90,$2.26,$0.00,0%,1%,0%
Status Quo - Pint,1,$17.50,$1.59,$4.16,0%,0%,76%
Regular Super House Special,1,$24.00,$2.18,$5.53,0%,1%,77%
"Large No Chorizo, No Cry",1,$0.00,$0.00,$5.60,0%,0%,
Add Jalapenos,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Margherita,1,$14.00,$1.27,$1.23,0%,0%,91%
A. Rodda Chardonnay - Bottle,1,$115.77,$10.52,$37.70,0%,3%,67%
Regular Hawaiian,1,$15.00,$1.36,$1.25,0%,0%,92%
Vegan Aioli,1,$0.00,$0.00,$0.00,0%,0%,0%
Vegan Cheese [Pizza],1,$3.10,$0.28,$0.00,0%,0%,0%
Veuve Clicquot Yellow Label - Glass,1,$37.18,$3.38,$16.15,0%,1%,57%
Cauliflower Burrito,1,$0.00,$0.00,$5.14,0%,0%,
Chicken Burrito D,1,$25.00,$2.27,$6.80,0%,1%,73%
Feast Deal Pizzas,1,$45.00,$4.09,$0.00,0%,1%,0%
Choc  Brownie,1,$0.00,$0.00,$1.95,0%,0%,
"Regular No Chorizo, No Cry [Dine-in]",1,$26.87,$2.43,$2.50,0%,1%,91%
Lepinja Bread,1,$10.00,$0.91,$0.00,0%,0%,0%
"Regular No Chorizo, No Cry",1,$0.00,$0.00,$2.50,0%,0%,
Fresh Lime Soda,1,$3.50,$0.32,$0.00,0%,0%,0%
Side Spicy Salsa,1,$1.03,$0.09,$0.00,0%,0%,0%
,298,"$4,366.95",$396.52,$899.39,100%,100%,79%
