item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:20459447,4 Pines Kolsch Bottle D,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459505,Grifter Pale Ale Cans D,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459532,Status Quo Can D,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459552,Coke 1.25L,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459553,Coke Zero 1.25L,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459554,Solo 1.25L,each,false,eax1,
lightspeed:20459555,Sprite 1.25L,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20459557,Sunkist 1.25L,each,false,eax1,
lightspeed:20459560,Coke Can,ml,false,mlx1,
lightspeed:20459561,Coke Zero Can,ml,false,mlx1,
lightspeed:20459564,Sprite Can,ml,false,mlx1,
lightspeed:20464467,A. Rodda Tempranillo - Bottle,ml,false,mlx1,
lightspeed:20464486,Das Juice Pink Pet Nat - Bottle,ml,false,mlx3,
lightspeed:20464635,Trutta Streamside Shiraz [Chilled] - Bottle,ml,false,mlx5,
lightspeed:20464639,Domaine Gueguen Chablis - Bottle,ml,false,mlx3,
lightspeed:20464644,Dormilona Chenin Blanc - Bottle,ml,false,mlx3,
lightspeed:20464651,Ottelia Cab Sav - Bottle,ml,false,mlx3,
lightspeed:20464656,Glaetzer Anaperenna Shiraz Cab - Bottle,ml,false,mlx2,
lightspeed:20464662,Padrillos Malbec - Bottle,ml,false,mlx3,
lightspeed:20464670,Kuku Sauvignon Blanc - Bottle,ml,false,mlx3,
lightspeed:20464685,Mother's Milk Shiraz - Bottle,ml,false,mlx3,
lightspeed:20464694,Ottelia Chardonnay - Bottle,ml,false,mlx3,
lightspeed:20464707,Two Tonne Riesling - Bottle,ml,false,mlx5,
lightspeed:20466083,Ravensworth Skins Gris - Bottle,ml,false,mlx3,
lightspeed:20466090,Scout Pinot Gris - Bottle,ml,false,mlx3,
lightspeed:20466095,Sigurd White Blend - Bottle,ml,false,mlx2,
lightspeed:20466100,Sigurd GSM Red Blend - Bottle,ml,false,mlx2,
lightspeed:20466106,Petits Detours Rosé Mediterranee - Bottle,ml,false,mlx4,
lightspeed:20466112,Trentham Estate Rosé - Bottle,ml,false,mlx4,
lightspeed:20466120,Version Two Pinot Grigio - Bottle,ml,false,mlx4,
lightspeed:20466130,Version Two Sparkling - Bottle,ml,false,mlx11,
lightspeed:20466168,Villa Fresco Sangiovese - Bottle,ml,false,mlx4,
lightspeed:20467569,A. Rodda Chardonnay - Bottle,ml,false,mlx3,
lightspeed:20467573,Year Wines 'Zagara' Orange - Bottle,ml,false,mlx3,
lightspeed:20467596,Garlic Bread,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20471109,Tomato Sauce [10kg],g,false,gx3,
lightspeed:20483413,Massenez Triple Sec [5L],ml,false,mlx37,
lightspeed:20483609,Carpano Classico [750ml],ml,false,mlx2,
lightspeed:20484685,Bailey's Irish Cream 1L [Bottle],ml,false,mlx2,
lightspeed:20484688,Balvenie 14yr Caribbean Cask [Bottle],ml,false,mlx2,
lightspeed:20484711,700ml Glass Bottle,ml,false,mlx4,
lightspeed:20484714,250ml Glass Bottle,ml,false,mlx2,
lightspeed:20484732,Big Sur IPA [Keg],ml,false,mlx2,
lightspeed:20484784,Fever-Tree Naturally Light Tonic [Bottle],ml,false,mlx2,
lightspeed:20484930,White Light Vodka [20L],ml,false,mlx18,
lightspeed:20484934,Kahlua [1L],ml,false,mlx8,
lightspeed:20484935,Barrel One Coffee Concentrate [Bottle],ml,false,mlx7,
lightspeed:20484940,Cocktail Sticker,ml,false,mlx6,
lightspeed:20484956,Fever-Tree Mediterannean Tonic [Bottle],ml,false,mlx3,
