supplier,supplier_code,product_id,product_name,venue,bo_cost,invoice_cost,delta,confidence,source_invoice,invoice_date
ILG,360-275-6,20445827,Patron Reposado Tequila R,,,,,ilg-pricebook,,
ILG,360-269-4,20445825,Patron Silver Tequila R,,,,,ilg-pricebook,,
ILG,345-103-5,22442475,Plantation Original Dark Rum,,,,,ilg-pricebook,,
ILG,410-040-3,20445875,St Germain Elderflower Liqueur,,,,,ilg-pricebook,,
Paramount,67137,20645918,Goslings Black Seal Rum,,,,,portal-hunt,,
Paramount,78607,20445812,Wolf Lane Navy Strength Gin,,,,,portal-hunt,,
Paramount,56841,20445893,Regal Rogue Bold Red,,,,,portal-hunt,,
Paramount,56844,20445888,Regal Rogue Wild Rose,,,,,portal-hunt,,
Paramount,61300,20445828,Cazcabel Reposado Tequila,,,,,portal-hunt,,
Paramount,67607,20445831,Fortaleza Reposado Tequila,,,,,portal-hunt,,
Paramount,79299,20445856,Plantation 3 Star White Rum,,,,,portal-hunt,,
Paramount,880126,20445861,Myers Jamaican Rum,,,,,portal-hunt,,
Paramount,65988,20445808,Hendricks Gin,,,,,portal-hunt,,
Paramount,880952,20492724,Wray & Nephew White Overproof,,,,,portal-hunt,,
Paramount,60431,20445836,Ilegal Mezcal Reposado,,,,,portal-hunt,,
ILG,360-271-0,22442211,Patron XO Cafe,,,,,portal-hunt,,
