supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20488005,Zacapa Centenario 23yr 700ML,Zacapa Centenario 23yr,97.1500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20488005
Lightspeed,20488033,Seadrift Coast 700ML,Seadrift Coast,37.5000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20488033
Lightspeed,20492640,Chartreuse Yellow 700ML,Chartreuse Yellow,76.0900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492640
Lightspeed,20492688,Disaronno 700ML,Disaronno,43.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492688
Lightspeed,20492689,Domaine de Canton Ginger Liqueur 700ML,Domaine de Canton Ginger Liqueur,48.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492689
Lightspeed,20492690,Italicus Bergamot Liqueur 700ML,Italicus Bergamot Liqueur,66.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492690
Lightspeed,20492685,Lyre's Italian Spritz 700ML,Lyre's Italian Spritz,35.7500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492685
Lightspeed,20492642,Massenez Wild Strawberry 750ML,Massenez Wild Strawberry,38.0200,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492642
Lightspeed,20492630,St. Germain Elderflower Liqueur 700ML,St. Germain Elderflower Liqueur,48.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492630
Lightspeed,20492634,Status Quo 50000ML,Status Quo,365.2000,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492634
Lightspeed,20492637,Stone & Wood 50000ML,Stone & Wood,385.1100,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492637
Lightspeed,20492687,Vinada Sparking Rosé 750ML,Vinada Sparking Rosé,12.5600,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492687
Lightspeed,20492707,Chambord 700ML,Chambord,50.7300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492707
Lightspeed,20492716,John D. Taylor's Velvet Falernum 700ML,John D. Taylor's Velvet Falernum,34.9900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492716
Lightspeed,20492692,Massenez Cacao Blanc 750ML,Massenez Cacao Blanc,47.2700,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492692
Lightspeed,20492694,Tanqueray 10 700ML,Tanqueray 10,71.9000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492694
Lightspeed,20492697,Tequila Ocho Anejo 700ML,Tequila Ocho Anejo,99.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492697
Lightspeed,20492699,Tilde Raw Vodka 700ML,Tilde Raw Vodka,59.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492699
Lightspeed,20492701,Tito's Vodka 700ML,Tito's Vodka,61.9300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492701
Lightspeed,20492747,Wolf Lane Navy Gin 700ML,Wolf Lane Navy Gin,77.4000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492747
Lightspeed,20492750,Wray & Nephew's OR Rumbar OP Rum 700ML,Wray & Nephew's OR Rumbar OP Rum,95.4500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492750
